#One should multiply by D_H0 to get the unit of length, eg. Mpc
#z     dimensionless
0.000    0.00000
0.204    0.19396
0.408    0.36729
0.612    0.52077
0.816    0.65626
1.020    0.77601
1.224    0.88224
1.429    0.97693
1.633    1.06181
1.837    1.13830
2.041    1.20761
2.245    1.27073
2.449    1.32850
2.653    1.38159
2.857    1.43058
3.061    1.47597
3.265    1.51816
3.469    1.55750
3.673    1.59430
3.878    1.62881
4.082    1.66126
4.286    1.69183
4.490    1.72072
4.694    1.74805
4.898    1.77397
5.102    1.79859
5.306    1.82202
5.510    1.84435
5.714    1.86566
5.918    1.88602
6.122    1.90551
6.327    1.92419
6.531    1.94210
6.735    1.95931
6.939    1.97584
7.143    1.99176
7.347    2.00709
7.551    2.02187
7.755    2.03613
7.959    2.04991
8.163    2.06322
8.367    2.07610
8.571    2.08856
8.776    2.10063
8.980    2.11233
9.184    2.12368
9.388    2.13470
9.592    2.14539
9.796    2.15578
10.000    2.16588
