Tx [MeV]   dNx/dTx [1/MeV]
1.00       1.97516e+47
2.67       2.07936e+47
4.34       1.94025e+47
6.02       1.73930e+47
7.69       1.49708e+47
9.36       1.27110e+47
11.03       1.05655e+47
12.71       8.75751e+46
14.38       7.29616e+46
16.05       6.02305e+46
17.72       4.99305e+46
19.39       4.11306e+46
21.07       3.39484e+46
22.74       2.79791e+46
24.41       2.28210e+46
26.08       1.85406e+46
27.76       1.50180e+46
29.43       1.21129e+46
31.10       9.74703e+45
32.77       7.84824e+45
34.45       6.25348e+45
36.12       4.99985e+45
37.79       3.95960e+45
39.46       3.15542e+45
41.13       2.50570e+45
42.81       1.98686e+45
44.48       1.57020e+45
46.15       1.24329e+45
47.82       9.75936e+44
49.50       7.72132e+44
51.17       6.05925e+44
52.84       4.79383e+44
54.51       3.74710e+44
56.18       2.95295e+44
57.86       2.32462e+44
59.53       1.81129e+44
61.20       1.42271e+44
62.87       1.11853e+44
64.55       8.73755e+43
66.22       6.85757e+43
67.89       5.36054e+43
69.56       4.19736e+43
71.24       3.27980e+43
72.91       2.56612e+43
74.58       2.00057e+43
76.25       1.57204e+43
77.92       1.21413e+43
79.60       9.51567e+42
81.27       7.43061e+42
82.94       5.78707e+42
84.61       4.51895e+42
86.29       3.49489e+42
87.96       2.75502e+42
89.63       2.14484e+42
91.30       1.67020e+42
92.97       1.29936e+42
94.65       1.00812e+42
96.32       7.88061e+41
97.99       6.10373e+41
99.66       4.75035e+41
101.34       3.68752e+41
103.01       2.87112e+41
104.68       2.23793e+41
106.35       1.73503e+41
108.03       1.34838e+41
109.70       1.04735e+41
111.37       8.09770e+40
113.04       6.34846e+40
114.71       4.90260e+40
116.39       3.80733e+40
118.06       2.94659e+40
119.73       2.29231e+40
121.40       1.77516e+40
123.08       1.37406e+40
124.75       1.07024e+40
126.42       8.29539e+39
128.09       6.42099e+39
129.76       4.94703e+39
131.44       3.85265e+39
133.11       2.97874e+39
134.78       2.31386e+39
136.45       1.78665e+39
138.13       1.38920e+39
139.80       1.06849e+39
141.47       8.28879e+38
143.14       6.43748e+38
144.82       4.99932e+38
146.49       3.84937e+38
148.16       2.97843e+38
149.83       2.31461e+38
151.50       1.78532e+38
153.18       1.38304e+38
154.85       1.07204e+38
156.52       8.27944e+37
158.19       6.38695e+37
159.87       4.96363e+37
161.54       3.82981e+37
163.21       2.96168e+37
164.88       2.28498e+37
166.55       1.76440e+37
168.23       1.36979e+37
169.90       1.05380e+37
171.57       8.14182e+36
173.24       6.32886e+36
174.92       4.87245e+36
176.59       3.75286e+36
178.26       2.91876e+36
179.93       2.24485e+36
181.61       1.73286e+36
183.28       1.34376e+36
184.95       1.03088e+36
186.62       7.97832e+35
188.29       6.15893e+35
189.97       4.78451e+35
191.64       3.67826e+35
193.31       2.84104e+35
194.98       2.19275e+35
196.66       1.69639e+35
198.33       1.29948e+35
200.00       1.00753e+35
