Tx [MeV]   dNx/dTx [1/MeV]
1.00       1.28549e+48
2.67       1.32826e+48
4.34       1.24593e+48
6.02       1.09264e+48
7.69       9.48870e+47
9.36       7.91632e+47
11.03       6.62403e+47
12.71       5.51283e+47
14.38       4.55596e+47
16.05       3.80451e+47
17.72       3.13135e+47
19.39       2.56418e+47
21.07       2.13965e+47
22.74       1.73774e+47
24.41       1.43959e+47
26.08       1.17861e+47
27.76       9.54062e+46
29.43       7.73407e+46
31.10       6.17743e+46
32.77       4.95299e+46
34.45       3.98550e+46
36.12       3.18125e+46
37.79       2.52935e+46
39.46       2.01927e+46
41.13       1.59838e+46
42.81       1.26557e+46
44.48       9.99134e+45
46.15       7.94655e+45
47.82       6.28711e+45
49.50       4.89259e+45
51.17       3.88705e+45
52.84       3.06002e+45
54.51       2.40026e+45
56.18       1.89090e+45
57.86       1.49606e+45
59.53       1.15747e+45
61.20       9.18000e+44
62.87       7.17811e+44
64.55       5.62020e+44
66.22       4.41667e+44
67.89       3.41588e+44
69.56       2.73155e+44
71.24       2.11911e+44
72.91       1.58467e+44
74.58       1.28827e+44
76.25       1.01787e+44
77.92       7.81699e+43
79.60       6.02162e+43
81.27       4.83026e+43
82.94       3.71158e+43
84.61       2.88191e+43
86.29       2.28685e+43
87.96       1.78506e+43
89.63       1.38382e+43
91.30       1.06687e+43
92.97       8.23259e+42
94.65       6.41208e+42
96.32       5.01803e+42
97.99       3.91436e+42
99.66       3.07642e+42
101.34       2.35178e+42
103.01       1.86347e+42
104.68       1.44592e+42
106.35       1.10609e+42
108.03       8.46282e+41
109.70       6.54104e+41
111.37       5.27072e+41
113.04       4.07993e+41
114.71       3.15307e+41
116.39       2.38276e+41
118.06       1.90715e+41
119.73       1.48480e+41
121.40       1.14091e+41
123.08       8.80450e+40
124.75       6.83390e+40
126.42       5.31807e+40
128.09       4.05942e+40
129.76       3.20932e+40
131.44       2.49667e+40
133.11       1.91636e+40
134.78       1.49267e+40
136.45       1.16701e+40
138.13       8.91304e+39
139.80       6.87181e+39
141.47       5.40451e+39
143.14       4.14571e+39
144.82       3.20296e+39
146.49       2.31102e+39
148.16       1.93951e+39
149.83       1.49728e+39
151.50       1.15475e+39
153.18       8.93049e+38
154.85       6.86173e+38
156.52       5.30235e+38
158.19       4.13838e+38
159.87       3.17529e+38
161.54       2.46390e+38
163.21       1.89091e+38
164.88       1.47346e+38
166.55       1.14307e+38
168.23       8.79371e+37
169.90       6.77261e+37
171.57       5.29256e+37
173.24       4.07078e+37
174.92       3.11459e+37
176.59       2.43380e+37
178.26       1.83035e+37
179.93       1.46460e+37
181.61       1.12554e+37
183.28       8.64066e+36
184.95       6.67192e+36
186.62       5.20138e+36
188.29       3.91574e+36
189.97       3.03061e+36
191.64       2.37560e+36
193.31       1.84407e+36
194.98       1.42838e+36
196.66       1.09247e+36
198.33       8.33281e+35
200.00       6.20692e+35
