#Tx [MeV]   1/(MeV cm^2 s)
1.00    3.76859e-09
1.50    3.89300e-09
1.99    3.82298e-09
2.49    3.64251e-09
2.99    3.44861e-09
3.49    3.20706e-09
3.98    2.96925e-09
4.48    2.72772e-09
4.98    2.49983e-09
5.48    2.28121e-09
5.97    2.07909e-09
6.47    1.89197e-09
6.97    1.72528e-09
7.47    1.56539e-09
7.96    1.42483e-09
8.46    1.29631e-09
8.96    1.17678e-09
9.46    1.06735e-09
9.95    9.71949e-10
10.45    8.84583e-10
10.95    8.01897e-10
11.45    7.30255e-10
11.94    6.63956e-10
12.44    6.04415e-10
12.94    5.49091e-10
13.44    4.99181e-10
13.93    4.52694e-10
14.43    4.11214e-10
14.93    3.74191e-10
15.43    3.40475e-10
15.92    3.08389e-10
16.42    2.80396e-10
16.92    2.54689e-10
17.42    2.31529e-10
17.91    2.10210e-10
18.41    1.91392e-10
18.91    1.73887e-10
19.41    1.58016e-10
19.90    1.43736e-10
20.40    1.30538e-10
20.90    1.18641e-10
21.40    1.07915e-10
21.89    9.82863e-11
22.39    8.92700e-11
22.89    8.11055e-11
23.39    7.38579e-11
23.88    6.72240e-11
24.38    6.10542e-11
24.88    5.56842e-11
25.38    5.06045e-11
25.87    4.60851e-11
26.37    4.21862e-11
26.87    3.83009e-11
27.37    3.49106e-11
27.86    3.17761e-11
28.36    2.89576e-11
28.86    2.64132e-11
29.36    2.40619e-11
29.85    2.19653e-11
30.35    1.99994e-11
30.85    1.82650e-11
31.35    1.66251e-11
31.84    1.52440e-11
32.34    1.38664e-11
32.84    1.26772e-11
33.34    1.15318e-11
33.83    1.05799e-11
34.33    9.65251e-12
34.83    8.83675e-12
35.33    8.08238e-12
35.82    7.37128e-12
36.32    6.73617e-12
36.82    6.16785e-12
37.32    5.62928e-12
37.81    5.14967e-12
38.31    4.71932e-12
38.81    4.31844e-12
39.31    3.94847e-12
39.80    3.61753e-12
40.30    3.30726e-12
40.80    3.03289e-12
41.30    2.77064e-12
41.79    2.54475e-12
42.29    2.31957e-12
42.79    2.13277e-12
43.29    1.95250e-12
43.78    1.79493e-12
44.28    1.63376e-12
44.78    1.50316e-12
45.28    1.37700e-12
45.77    1.26353e-12
46.27    1.15507e-12
46.77    1.06393e-12
47.27    9.73523e-13
47.76    8.93694e-13
48.26    8.19709e-13
48.76    7.54990e-13
49.26    6.89323e-13
49.75    6.34030e-13
50.25    5.80858e-13
50.75    5.33687e-13
51.25    4.89078e-13
51.74    4.50093e-13
52.24    4.11994e-13
52.74    3.80431e-13
53.24    3.48040e-13
53.73    3.19782e-13
54.23    2.93647e-13
54.73    2.70496e-13
55.23    2.47459e-13
55.72    2.28260e-13
56.22    2.08782e-13
56.72    1.92653e-13
57.22    1.76684e-13
57.71    1.62769e-13
58.21    1.49055e-13
58.71    1.37758e-13
59.21    1.26036e-13
59.70    1.16267e-13
60.20    1.06455e-13
60.70    9.82506e-14
61.20    9.01620e-14
61.69    8.32069e-14
62.19    7.62081e-14
62.69    7.03708e-14
63.19    6.44973e-14
63.68    5.95527e-14
64.18    5.45261e-14
64.68    5.04737e-14
65.18    4.62954e-14
65.67    4.26967e-14
66.17    3.92116e-14
66.67    3.61435e-14
67.17    3.31968e-14
67.66    3.05537e-14
68.16    2.81471e-14
68.66    2.58998e-14
69.16    2.37899e-14
69.65    2.19955e-14
70.15    2.01538e-14
70.65    1.86001e-14
71.15    1.70874e-14
71.64    1.57636e-14
72.14    1.45016e-14
72.64    1.33875e-14
73.14    1.22853e-14
73.63    1.13576e-14
74.13    1.04152e-14
74.63    9.59329e-15
75.13    8.83134e-15
75.62    8.16319e-15
76.12    7.49241e-15
76.62    6.89848e-15
77.12    6.35550e-15
77.61    5.86489e-15
78.11    5.40843e-15
78.61    4.96977e-15
79.11    4.57519e-15
79.60    4.21378e-15
80.10    3.88378e-15
80.60    3.58735e-15
81.10    3.30179e-15
81.59    3.03415e-15
82.09    2.80426e-15
82.59    2.58541e-15
83.09    2.37856e-15
83.58    2.19617e-15
84.08    2.01980e-15
84.58    1.86545e-15
85.08    1.71556e-15
85.57    1.58204e-15
86.07    1.45836e-15
86.57    1.34745e-15
87.07    1.24025e-15
87.56    1.14450e-15
88.06    1.05387e-15
88.56    9.74233e-16
89.06    8.95767e-16
89.55    8.26335e-16
90.05    7.58752e-16
90.55    7.01050e-16
91.05    6.45229e-16
91.54    5.95833e-16
92.04    5.47771e-16
92.54    5.06632e-16
93.04    4.66217e-16
93.53    4.31283e-16
94.03    3.95634e-16
94.53    3.65130e-16
95.03    3.36659e-16
95.52    3.11363e-16
96.02    2.86284e-16
96.52    2.64240e-16
97.02    2.43504e-16
97.51    2.24637e-16
98.01    2.07053e-16
98.51    1.90937e-16
99.01    1.75876e-16
99.50    1.62601e-16
100.00    1.49911e-16
