#Tx [MeV]   1/(MeV cm^2 s)
1.00    8.90392e-08
1.50    8.87593e-08
1.99    8.33071e-08
2.49    7.73766e-08
2.99    7.04669e-08
3.49    6.38755e-08
3.98    5.72780e-08
4.48    5.12215e-08
4.98    4.58852e-08
5.48    4.11324e-08
5.97    3.65731e-08
6.47    3.27847e-08
6.97    2.92150e-08
7.47    2.60928e-08
7.96    2.33400e-08
8.46    2.07686e-08
8.96    1.86202e-08
9.46    1.66455e-08
9.95    1.49406e-08
10.45    1.33299e-08
10.95    1.19728e-08
11.45    1.06946e-08
11.94    9.55312e-09
12.44    8.59105e-09
12.94    7.69467e-09
13.44    6.91911e-09
13.93    6.18934e-09
14.43    5.56571e-09
14.93    4.97984e-09
15.43    4.47690e-09
15.92    4.01309e-09
16.42    3.59839e-09
16.92    3.24070e-09
17.42    2.90078e-09
17.91    2.60363e-09
18.41    2.33632e-09
18.91    2.10125e-09
19.41    1.89935e-09
19.90    1.70177e-09
20.40    1.52583e-09
20.90    1.37636e-09
21.40    1.23594e-09
21.89    1.11397e-09
22.39    1.00190e-09
22.89    9.02026e-10
23.39    8.12848e-10
23.88    7.32095e-10
24.38    6.61553e-10
24.88    5.97416e-10
25.38    5.38190e-10
25.87    4.84980e-10
26.37    4.37578e-10
26.87    3.95654e-10
27.37    3.57102e-10
27.86    3.22622e-10
28.36    2.91679e-10
28.86    2.63682e-10
29.36    2.38796e-10
29.85    2.15682e-10
30.35    1.95211e-10
30.85    1.76916e-10
31.35    1.60114e-10
31.84    1.45197e-10
32.34    1.31530e-10
32.84    1.19108e-10
33.34    1.08480e-10
33.83    9.82817e-11
34.33    8.90878e-11
34.83    8.10295e-11
35.33    7.35490e-11
35.82    6.67738e-11
36.32    6.07256e-11
36.82    5.51402e-11
37.32    5.01719e-11
37.81    4.56346e-11
38.31    4.15307e-11
38.81    3.77440e-11
39.31    3.44718e-11
39.80    3.13095e-11
40.30    2.84712e-11
40.80    2.59435e-11
41.30    2.37339e-11
41.79    2.15976e-11
42.29    1.97150e-11
42.79    1.79737e-11
43.29    1.64066e-11
43.78    1.49621e-11
44.28    1.36577e-11
44.78    1.25103e-11
45.28    1.13836e-11
45.77    1.04218e-11
46.27    9.51637e-12
46.77    8.68294e-12
47.27    7.94075e-12
47.76    7.24154e-12
48.26    6.62606e-12
48.76    6.06636e-12
49.26    5.55693e-12
49.75    5.07225e-12
50.25    4.64628e-12
50.75    4.24775e-12
51.25    3.89758e-12
51.74    3.55628e-12
52.24    3.26191e-12
52.74    2.98309e-12
53.24    2.73001e-12
53.73    2.50842e-12
54.23    2.29558e-12
54.73    2.10412e-12
55.23    1.92465e-12
55.72    1.76883e-12
56.22    1.62242e-12
56.72    1.48277e-12
57.22    1.36304e-12
57.71    1.24570e-12
58.21    1.14469e-12
58.71    1.05005e-12
59.21    9.65332e-13
59.70    8.86350e-13
60.20    8.11468e-13
60.70    7.43731e-13
61.20    6.85041e-13
61.69    6.28879e-13
62.19    5.74778e-13
62.69    5.27700e-13
63.19    4.85526e-13
63.68    4.47094e-13
64.18    4.08743e-13
64.68    3.76437e-13
65.18    3.45877e-13
65.67    3.17262e-13
66.17    2.91409e-13
66.67    2.67501e-13
67.17    2.46281e-13
67.66    2.26291e-13
68.16    2.07914e-13
68.66    1.91238e-13
69.16    1.75673e-13
69.65    1.61611e-13
70.15    1.47586e-13
70.65    1.36022e-13
71.15    1.24772e-13
71.64    1.15159e-13
72.14    1.05630e-13
72.64    9.72947e-14
73.14    8.94071e-14
73.63    8.26139e-14
74.13    7.57691e-14
74.63    6.98620e-14
75.13    6.42409e-14
75.62    5.92328e-14
76.12    5.43834e-14
76.62    4.99820e-14
77.12    4.59972e-14
77.61    4.23895e-14
78.11    3.89232e-14
78.61    3.58877e-14
79.11    3.29583e-14
79.60    3.03889e-14
80.10    2.79696e-14
80.60    2.58336e-14
81.10    2.37319e-14
81.59    2.17892e-14
82.09    2.01138e-14
82.59    1.84363e-14
83.09    1.70465e-14
83.58    1.56501e-14
84.08    1.44554e-14
84.58    1.32651e-14
85.08    1.22773e-14
85.57    1.12711e-14
86.07    1.04222e-14
86.57    9.52835e-15
87.07    8.78858e-15
87.56    8.08004e-15
88.06    7.46533e-15
88.56    6.84911e-15
89.06    6.32080e-15
89.55    5.81222e-15
90.05    5.34786e-15
90.55    4.90699e-15
91.05    4.53823e-15
91.54    4.17028e-15
92.04    3.86067e-15
92.54    3.54689e-15
93.04    3.26534e-15
93.53    3.00860e-15
94.03    2.78402e-15
94.53    2.55589e-15
95.03    2.36267e-15
95.52    2.17407e-15
96.02    1.99960e-15
96.52    1.84477e-15
97.02    1.70713e-15
97.51    1.56864e-15
98.01    1.44355e-15
98.51    1.33647e-15
99.01    1.22539e-15
99.50    1.12899e-15
100.00    1.04298e-15
