R [kpc]     M_sun/kpc^2
0.00e+00    8.80725e+09
5.00e-01    2.13275e+09
1.00e+00    1.19672e+09
1.50e+00    8.12425e+08
2.00e+00    5.96710e+08
2.50e+00    4.56608e+08
3.00e+00    3.57953e+08
3.50e+00    2.84989e+08
4.00e+00    2.29295e+08
4.50e+00    1.85866e+08
5.00e+00    1.51494e+08
5.50e+00    1.23994e+08
6.00e+00    1.01817e+08
6.50e+00    8.38242e+07
7.00e+00    6.91568e+07
7.50e+00    5.71559e+07
8.00e+00    4.73073e+07
8.50e+00    3.92053e+07
9.00e+00    3.25264e+07
9.50e+00    2.70113e+07
1.00e+01    2.24505e+07
1.05e+01    1.86741e+07
1.10e+01    1.55438e+07
1.15e+01    1.29464e+07
1.20e+01    1.07894e+07
1.25e+01    8.99663e+06
1.30e+01    7.50558e+06
1.35e+01    6.26463e+06
1.40e+01    5.23122e+06
1.45e+01    4.37015e+06
1.50e+01    3.65230e+06
1.55e+01    3.05356e+06
1.60e+01    2.55392e+06
1.65e+01    2.13680e+06
1.70e+01    1.78843e+06
1.75e+01    1.49736e+06
1.80e+01    1.25406e+06
1.85e+01    1.05063e+06
1.90e+01    8.80464e+05
1.95e+01    7.38078e+05
2.00e+01    6.18897e+05
2.05e+01    5.19106e+05
2.10e+01    4.35524e+05
2.15e+01    3.65497e+05
2.20e+01    3.06809e+05
2.25e+01    2.57610e+05
2.30e+01    2.16354e+05
2.35e+01    1.81749e+05
2.40e+01    1.52715e+05
2.45e+01    1.28349e+05
2.50e+01    1.07895e+05
2.55e+01    9.07199e+04
2.60e+01    7.62954e+04
2.65e+01    6.41780e+04
2.70e+01    5.39961e+04
2.75e+01    4.54387e+04
2.80e+01    3.82449e+04
2.85e+01    3.21962e+04
2.90e+01    2.71092e+04
2.95e+01    2.28301e+04
3.00e+01    1.92299e+04
3.05e+01    1.62002e+04
3.10e+01    1.36501e+04
3.15e+01    1.15034e+04
3.20e+01    9.69579e+03
3.25e+01    8.17353e+03
3.30e+01    6.89132e+03
3.35e+01    5.81112e+03
3.40e+01    4.90095e+03
